"Reference","Qty","Value","Footprint","MANUFACTURER","Description"
"VR1","1","LM1117MPX-3.3_NOPB","ESP32Footprints:VREG_LM1117MPX-3.3","Texas Instruments","800-mA 15-V linear voltage regulator"
"U7","1","MAX4466EXK","ESP32Footprints:SOT65P210X110-5N","","Amplifier IC 1-Channel (Mono) Class AB SC-70-5"
"U6","1","BME280","ESP32Footprints:PSON65P250X250X100-8N","","Board Mount Humidity Sensors MEMS humidity, pressure and temperature sensor"
"U5","1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6"
"U4","1","W25Q32JVSSIQ","ESP32Footprints:SOIC127P790X216-8N","","FLASH - NOR Memory IC 32Mb (4M x 8) SPI - Quad I/O 133 MHz 8-SOIC"
"U3","1","ESP32-C3-WROOM-02-H4","ESP32Footprints:MODULE_ESP32-C3-WROOM-02-H4","","WiFi Modules (802.11) (Engineering Samples) SMD module, ESP32-C3, 4MB SPI flash, PCB antenna, -40 C +105 C"
"U2","1","CP2102N-Axx-xQFN20","Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm","","USB to UART master bridge, QFN-20"
"U1","1","MCP73871-2CAI_ML","ESP32Footprints:QFN50P400X400X100-21N","Microchip Corp.","Microchip MCP73871-2CAI/ML, Battery Charge Controller, 1000mA, 20-Pin QFN | Microchip Technology Inc. MCP73871-2CAI/ML"
"TP5","1","TestCLK","TestPoint:TestPoint_Pad_1.0x1.0mm","","test point"
"TP4","1","TestCS","TestPoint:TestPoint_Pad_1.0x1.0mm","","test point"
"TP3","1","TestSD","TestPoint:TestPoint_Pad_1.0x1.0mm","","test point"
"TP2","1","TestMOSI","TestPoint:TestPoint_Pad_1.0x1.0mm","","test point"
"TP1","1","TestMISO","TestPoint:TestPoint_Pad_1.0x1.0mm","","test point"
"S2","1","ENABLE","TL3305AF260QG:SW_TL3305AF260QG","E-Switch","Tactile Switch SPST-NO Top Actuated Surface Mount"
"S1","1","BOOT","TL3305AF260QG:SW_TL3305AF260QG","E-Switch","Tactile Switch SPST-NO Top Actuated Surface Mount"
"R25,R26","2","2k","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R23,R24","2","1M","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R22","1","10k","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R20,R21","2","4.7k","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R19","1","100K","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R15,R16,R17,R18","4","50","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R14","1","47K5","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R13","1","22K1","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R7,R8,R9,R10,R11,R12","6","470","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R6","1","20K","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R5","1","2K","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R3,R4","2","5K1","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R2,R27,R28,R29,R30,R31","6","10K","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R1","1","1k","Resistor_SMD:R_0805_2012Metric","","Resistor"
"Q2,Q3","2","BC817","Package_TO_SOT_SMD:SOT-23","","0.8A Ic, 45V Vce, NPN Transistor, SOT-23"
"Q1","1","TEMT6000X01","ESP32Footprints:TRANS_TEMT6000X01","VISHAY","Phototransistors 570nm Top View 1206 (3216 Metric)"
"MK1","1","CMC-5042PF-AC","ESP32Footprints:CUI_CMC-5042PF-AC","CUI INC","6.0 mm, Omnidirectional, PCB Mount, 2.0 Vdc, Electret Condenser Microphone"
"LED3","1","LTST-C170TBKT","ESP32Footprints:LEDC2012X120N","","LED,SMD,0805,Blue,28mcd,130deg"
"LED2,LED6","2","LTST-C170GKT","ESP32Footprints:LEDC2012X120N","","LED,SMD,0805,Green,6mcd,130deg Lite-On LTST-C170GKT, CHIPLED 0805 Series Green LED, 569 nm 2012 (0805), Rectangle Lens SMD package"
